05-12-2022 11:37:22 WARN  TestResultLoggerExtension:52 - Test Failed for test: [8] Edit issues 2 for COALA project, COALA-2 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:37:56 WARN  TestResultLoggerExtension:52 - Test Failed for test: [9] Edit issues 3 for COALA project, COALA-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:38:11 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] MTP-2507
05-12-2022 11:38:11 WARN  TestResultLoggerExtension:26 - Test result summary for TestEditIssue {SUCCESSFUL=6, FAILED=6}
05-12-2022 11:38:27 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Main Testing Project
05-12-2022 11:38:37 WARN  TestResultLoggerExtension:52 - Test Failed for test: [1] Main Testing Project, Story due to cause: org.openqa.selenium.StaleElementReferenceException
05-12-2022 11:39:08 WARN  TestResultLoggerExtension:52 - Test Failed for test: [1] Create subtask for JETI project, JETI, JETI-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:39:24 WARN  TestResultLoggerExtension:52 - Test Failed for test: [2] Create subtask for TOUCAN project, TOUCAN, TOUCAN-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:39:41 WARN  TestResultLoggerExtension:52 - Test Failed for test: [3] Create subtask for COALA project, COALA, COALA-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:39:57 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Main Testing Project, Story
05-12-2022 11:40:10 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Check bug issue type for JETI, JETI, Bug
05-12-2022 11:40:22 WARN  TestResultLoggerExtension:52 - Test Failed for test: [2] Check task issue type for JETI, JETI, Task due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:40:36 WARN  TestResultLoggerExtension:39 - Test Successful for test: [3] Check story issue type for JETI, JETI, Story
05-12-2022 11:40:53 WARN  TestResultLoggerExtension:52 - Test Failed for test: [4] Check bug issue type for TOUCAN, TOUCAN, Bug due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:41:08 WARN  TestResultLoggerExtension:52 - Test Failed for test: [5] Check task issue type for TOUCAN, TOUCAN, Task due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:41:24 WARN  TestResultLoggerExtension:52 - Test Failed for test: [6] Check story issue type for TOUCAN, TOUCAN, Story due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:41:35 WARN  TestResultLoggerExtension:39 - Test Successful for test: [7] Check bug issue type for COALA, COALA, Bug
05-12-2022 11:41:48 WARN  TestResultLoggerExtension:39 - Test Successful for test: [8] Check task issue type for COALA, COALA, Task
05-12-2022 11:42:00 WARN  TestResultLoggerExtension:39 - Test Successful for test: [9] Check story issue type for COALA, COALA, Story
05-12-2022 11:42:12 WARN  TestResultLoggerExtension:39 - Test Successful for test: Create new issue with blank mandatory fields
05-12-2022 11:42:12 WARN  TestResultLoggerExtension:26 - Test result summary for TestCreateIssue {SUCCESSFUL=8, FAILED=8}
05-12-2022 11:42:22 WARN  TestResultLoggerExtension:39 - Test Successful for test: Browse non existing issue
05-12-2022 11:42:33 WARN  TestResultLoggerExtension:39 - Test Successful for test: Browse existing project without permission
05-12-2022 11:42:44 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Browse Existing Issue, MTP-1
05-12-2022 11:42:56 WARN  TestResultLoggerExtension:39 - Test Successful for test: [2] Browse issues 1 for TOUCAN project, TOUCAN-1
05-12-2022 11:43:08 WARN  TestResultLoggerExtension:39 - Test Successful for test: [3] Browse issues 2 for TOUCAN project, TOUCAN-2
05-12-2022 11:43:20 WARN  TestResultLoggerExtension:39 - Test Successful for test: [4] Browse issues 3 for TOUCAN project, TOUCAN-3
05-12-2022 11:43:55 WARN  TestResultLoggerExtension:52 - Test Failed for test: [5] Browse issues 1 for JETI project, JETI-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:44:26 WARN  TestResultLoggerExtension:52 - Test Failed for test: [6] Browse issues 2 for JETI project, JETI-2 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:44:38 WARN  TestResultLoggerExtension:52 - Test Failed for test: [7] Browse issues 3 for JETI project, JETI-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:44:49 WARN  TestResultLoggerExtension:39 - Test Successful for test: [8] Browse issues 1 for COALA project, COALA-1
05-12-2022 11:45:00 WARN  TestResultLoggerExtension:39 - Test Successful for test: [9] Browse issues 2 for COALA project, COALA-2
05-12-2022 11:45:33 WARN  TestResultLoggerExtension:52 - Test Failed for test: [10] Browse issues 3 for COALA project, COALA-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:45:33 WARN  TestResultLoggerExtension:26 - Test result summary for TestBrowseIssue {SUCCESSFUL=8, FAILED=4}
05-12-2022 11:45:43 WARN  TestResultLoggerExtension:39 - Test Successful for test: Log out successfully
05-12-2022 11:45:43 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogOut {SUCCESSFUL=1}
